,dset,method,y_pred,y_test
0,abalone,lasso_cv,-0.9594859544670957,-1.2203468135674185
1,abalone,lasso_cv,0.3936048809669854,-0.28631336605299984
2,abalone,lasso_cv,-0.6716532789926334,-0.9090023310626123
3,abalone,lasso_cv,0.16347446213712774,0.6477200814614189
4,abalone,lasso_cv,-0.44330289079002927,-0.5976578485578061
5,abalone,lasso_cv,-0.42379486247882453,-0.28631336605299984
6,abalone,lasso_cv,0.2207066564671094,0.02503111645180639
7,abalone,lasso_cv,-0.3741100720923554,0.02503111645180639
8,abalone,lasso_cv,-0.1813818177534036,0.02503111645180639
9,abalone,lasso_cv,0.1579713686025137,0.3363755989566126
10,abalone,lasso_cv,-1.0016983578419607,-1.2203468135674185
11,abalone,lasso_cv,-0.3606693464532168,-0.5976578485578061
12,abalone,lasso_cv,0.4215427901099178,0.3363755989566126
13,abalone,lasso_cv,-0.21004335695934512,-0.28631336605299984
14,abalone,lasso_cv,-0.313849319714567,0.02503111645180639
15,abalone,lasso_cv,3.25490341637936,1.893098011480644
16,abalone,lasso_cv,-0.5873610203424056,-0.9090023310626123
17,abalone,lasso_cv,0.37521146304545616,-0.5976578485578061
18,abalone,lasso_cv,1.1141583204568615,1.2704090464710314
19,abalone,lasso_cv,0.2976674820306442,-0.9090023310626123
20,abalone,lasso_cv,0.026970494390103454,0.02503111645180639
21,abalone,lasso_cv,0.19945413153340175,-0.28631336605299984
22,abalone,lasso_cv,-1.5931917642788629,-1.5316912960722249
23,abalone,lasso_cv,0.5485956709143814,0.3363755989566126
24,abalone,lasso_cv,-0.2899523277168743,0.3363755989566126
25,abalone,lasso_cv,-0.4219136970495311,-0.5976578485578061
26,abalone,lasso_cv,0.5036765399776727,0.3363755989566126
27,abalone,lasso_cv,-0.5515082398813886,-0.9090023310626123
28,abalone,lasso_cv,-0.21515640930194957,-0.28631336605299984
29,abalone,lasso_cv,-0.22938070958933215,-0.5976578485578061
30,abalone,lasso_cv,-0.4154781888231096,-0.9090023310626123
31,abalone,lasso_cv,0.05503608470991361,0.02503111645180639
